contact,type,result
本人,本人接聽,考慮中，再聯絡
本人,本人接聽,忙碌中，再聯絡
本人,本人接聽,無意願接受訪談
本人,本人接聽,尚未申辦
本人,本人接聽,線上申辦分期
本人,本人接聽,卡片註銷
本人,本人接聽,毋需對帳單
本人,本人接聽,自行查詢
本人,本人接聽,自行變更
本人,本人接聽,郵寄
本人,本人接聽,e-mail
本人,本人接聽,分行親取
本人,本人接聽,沒有興趣
本人,本人接聽,資料正確無誤
本人,本人接聽,客戶填寫錯誤，要求更改
本人,本人接聽,鍵檔錯誤，要求更改
本人,本人接聽,取消電子帳單申請
本人,本人接聽,客戶要求線上變更
本人,本人接聽,客戶至分行辦理
本人,本人接聽,有意願消費，有意願申辦
本人,本人接聽,無意願消費，無意願申辦
本人,本人接聽,已申請調額
本人,本人接聽,考慮中，再聯絡
本人,郵寄申請書,郵寄申請書(待追蹤)
本人,郵寄申請書,傳真申請書(待追蹤)
本人,郵寄申請書,E-mail申請書
本人,已申辦,已申辦
本人,無意願申辦,無意願申辦
本人,無意願申辦,申辦方式不便
本人,無意願申辦,回饋活動不吸引人
本人,無意願申辦,分期利率太高
本人,無意願申辦,已有無息分期卡
本人,無意願申辦,其他
本人,無意願申辦,未表示
本人,無意願申辦,習慣一次繳清
本人,非有效卡,非有效卡
本人,自行來電,自行來電變更
本人,取消信用卡電子帳單,取消信用卡電子帳單
本人,已達免年費標準,已達免年費標準
本人,完成通知,完成通知
本人,完成通知,完成問卷
本人,完成通知,未完成問卷
本人,完成通知,抱怨
本人,無法確認理專,無法確認理專
本人,已達問卷數,曾接觸過的名單，惟已達問卷數
本人,已達問卷數,尚未接觸的名單，惟已達問卷數
本人,理專人員已離職,理專人員已離職
本人,65歲以上不宜電訪,65歲以上不宜電訪
本人,系統紀錄,閒置
本人,系統紀錄,轉真人(聽不懂)
本人,系統紀錄,轉真人(敏感詞)
本人,系統紀錄,轉真人(意圖)
非本人,非本人接聽,先前表示無意願
非本人,非本人接聽,近期已外撥
非本人,非本人接聽,關係戶
非本人,非本人接聽,先前表示無意願
非本人,非本人接聽,非本人接聽
非本人,非本人接聽(結案),非本人接聽(結案)
非本人,非本人接聽(結案),無法聯絡
非本人,查無此人,查無此人
非本人,三次聯絡不到,三次聯絡不到
非本人,無人接聽,無人接聽
非本人,無效電話,無法受話
非本人,無效電話,空號
非本人,無效電話,手機已暫停使用
非本人,無效電話,傳真機
非本人,聯絡不到先行結案,聯絡不到先行結案
非本人,無需外撥(非有效卡),非有效卡
